region,round,slot,cut,prefix_ms,gpu_frame_ms,tail_ms,wall_ms
14,5,3,213,14.323120117,15.546520233,1.223399997,15.848300000
14,6,0,213,13.960539818,15.207539558,1.246999979,15.496900000
14,6,1,214,15.250200272,15.250200272,0.000000000,15.587500000
14,6,2,214,15.180879593,15.180879593,0.000000000,15.488800000
14,6,3,213,14.284939766,15.544139862,1.259199977,15.817400000
14,7,0,213,14.021220207,15.300620079,1.279399991,15.590800000
14,7,1,214,15.186759949,15.186759949,0.000000000,15.537300000
14,7,2,214,15.212960243,15.212960243,0.000000000,15.574000000
14,7,3,213,13.947360039,15.182660103,1.235299945,15.428000000
14,8,0,213,13.873100281,15.149100304,1.276000023,15.533400000
14,8,1,214,15.587880135,15.587880135,0.000000000,15.970400000
14,8,2,214,15.346420288,15.346420288,0.000000000,15.777200000
14,8,3,213,13.940520287,15.180319786,1.239799976,15.498600000
14,9,0,213,13.896140099,15.159540176,1.263399959,15.443900000
14,9,1,214,15.246580124,15.246580124,0.000000000,15.580100000
14,9,2,214,15.556900024,15.556900024,0.000000000,15.917600000
14,9,3,213,14.023520470,15.271419525,1.247900009,15.558600000
14,10,0,213,14.011380196,15.272080421,1.260699987,15.536400000
14,10,1,214,15.247779846,15.247779846,0.000000000,15.546900000
14,10,2,214,15.569040298,15.569040298,0.000000000,15.943800000
14,10,3,213,14.242639542,15.478240013,1.235599995,15.819000000
14,11,0,213,13.860600471,15.131400108,1.270799994,15.596900000
14,11,1,214,15.350379944,15.350379944,0.000000000,15.789900000
14,11,2,214,15.082579613,15.082579613,0.000000000,15.654400000
14,11,3,213,13.892820358,15.544619560,1.651800036,15.943800000
14,12,0,213,13.758159637,15.018659592,1.260499954,15.581400000
14,12,1,214,15.035900116,15.035900116,0.000000000,15.584600000
14,12,2,214,15.201899529,15.201899529,0.000000000,15.621100000
14,12,3,213,13.959159851,15.189160347,1.230000019,15.538000000
14,13,0,213,13.768079758,15.030280113,1.262199998,15.395600000
14,13,1,214,15.534799576,15.534799576,0.000000000,15.878600000
14,13,2,214,15.175959587,15.175959587,0.000000000,15.506300000
14,13,3,213,13.906740189,15.195940018,1.289199948,15.460900000
14,14,0,213,13.867600441,15.124899864,1.257300019,15.422600000
14,14,1,214,15.716560364,15.716560364,0.000000000,16.055800000
14,14,2,214,15.238519669,15.238519669,0.000000000,15.599300000
14,14,3,213,13.851380348,15.161279678,1.309900045,15.440900000
14,15,0,213,13.775480270,15.099379539,1.323899984,15.450500000
14,15,1,214,15.122019768,15.122019768,0.000000000,15.570100000
14,15,2,214,15.555979729,15.555979729,0.000000000,15.902700000
14,15,3,213,13.896340370,15.288339615,1.391999960,15.568400000
