region,round,slot,cut,start_tick,end_tick,prefix_ms,gpu_frame_ms,tail_ms,wall_ms
13,1,2,233,198604718,198604718,11.532899857,12.674699783,1.141800046,12.804000000
13,1,3,228,198604718,198604734,10.337559700,12.686059952,2.348500013,12.807000000
13,2,0,228,198604734,198604750,10.350119591,12.697520256,2.347399950,12.827000000
13,2,1,233,198604750,198604765,11.548939705,12.674639702,1.125699997,12.794000000
13,2,2,233,198604765,198604781,11.625340462,12.807740211,1.182399988,12.926000000
13,2,3,228,198604781,198604781,10.410820007,12.763620377,2.352799892,12.993000000
13,3,0,228,198604781,198604796,10.231160164,12.627459526,2.396300077,12.885000000
13,3,1,233,198604796,198604812,11.427300453,12.596400261,1.169100046,12.819000000
13,3,2,233,198604812,198604828,11.417099953,12.549099922,1.131999969,12.753000000
13,3,3,228,198604828,198604843,10.326020241,12.677920341,2.351900101,12.804000000
13,4,0,228,198604843,198604859,10.367300034,12.737799644,2.370500088,12.870000000
13,4,1,233,198604859,198604859,11.527379990,12.670479774,1.143100023,12.788000000
13,4,2,233,198604859,198604875,11.547240257,12.671339989,1.124099970,12.792000000
13,4,3,228,198604875,198604890,10.327380180,12.656080246,2.328700066,12.782000000
13,5,0,228,198604890,198604906,10.354900360,12.724399567,2.369499922,12.852000000
13,5,1,233,198604906,198604921,11.548800468,12.698499680,1.149700046,12.824000000
13,5,2,233,198604921,198604937,11.549360275,12.693460464,1.144099951,12.822000000
13,5,3,228,198604937,198604937,10.301619530,12.637619972,2.335999966,12.752000000
13,6,0,228,198604937,198604953,10.286520004,12.614720345,2.328200102,12.726000000
13,6,1,233,198604953,198604968,11.557600021,12.726599693,1.169000030,12.856000000
13,6,2,233,198604968,198604984,11.673159599,12.834159851,1.161000013,12.983000000
13,6,3,228,198604984,198605000,10.299019814,12.604220390,2.305200100,12.831000000
13,7,0,228,198605000,198605000,10.377280235,12.747079849,2.369800091,12.935000000
13,7,1,233,198605000,198605015,11.418560028,12.591959953,1.173400044,12.832000000
13,7,2,233,198605015,198605031,11.583479881,12.729479790,1.146000028,12.934000000
13,7,3,228,198605031,198605046,10.280900002,12.687100410,2.406199932,12.899000000
14,0,0,233,198605156,198605171,11.524499893,12.663900375,1.139400005,12.891000000
14,0,1,234,198605171,198605187,12.722559929,12.748959541,0.026400000,12.993000000
14,0,2,234,198605187,198605187,12.566760063,12.604860306,0.038100000,12.875000000
14,0,3,233,198605187,198605203,11.582480431,12.737680435,1.155200005,12.948000000
14,1,0,233,198605203,198605218,11.400500298,12.574999809,1.174499989,12.780000000
14,1,1,234,198605218,198605234,12.687580109,12.727379799,0.039799999,12.915000000
