frame,index,module,kernel,stage,groups,threads,count,start_ms,end_ms,duration_ms,frame_ms,scalar_args
0,45,mh,mh_shift_pack,block23,3584,256,917504,6.470160007,6.521279812,0.051120002,23.410200119,_;_;50;30;56;32;0;0;512;0
0,46,deep_fast,split_mix_blocked_h16w,block23,896,32,917504,6.527679920,6.590040207,0.062360000,23.410200119,_;_;_;1792
0,47,deep_fast,split_ffn_fused_fp8_t8,block23,896,128,917504,6.655079842,6.655640125,0.000560000,23.410200119,_;_;_;_;1792
0,48,deep_fast,split_projection_frag,block23,896,32,917504,6.710480213,6.710919857,0.000440000,23.410200119,_;_;_;_;_;1792
0,49,mh_fast,mh_qkv_normalize_frag_c512,block23,2688,32,2752512,6.714680195,6.783639908,0.068960004,23.410200119,_;_;_;1792
0,50,mh_fused,mh_attention_fused_fp8_out,block23,448,128,448,6.836679935,6.837120056,0.000440000,23.410200119,_;_;_;56;32;512
0,51,mh_fast,mh_attention_project_frag_c512,block23,896,32,917504,6.903399944,6.903960228,0.000560000,23.410200119,_;_;_;_;1792;0;50;30;56;0;0
0,52,mh,mh_shift_pack,block24,4480,256,1146880,6.906879902,6.959640026,0.052760001,23.410200119,_;_;50;30;56;40;4;4;512;0
0,53,deep_fast,split_mix_blocked_h16w,block24,1120,32,1146880,6.967360020,7.011000156,0.043639999,23.410200119,_;_;_;2240
0,54,deep_fast,split_ffn_fused_fp8_t8,block24,1120,128,1146880,7.014840126,7.079480171,0.064640000,23.410200119,_;_;_;_;2240
0,55,deep_fast,split_projection_frag,block24,1120,32,1146880,7.134560108,7.135119915,0.000560000,23.410200119,_;_;_;_;_;2240
0,56,mh_fast,mh_qkv_normalize_frag_c512,block24,3360,32,3440640,7.139440060,7.213840008,0.074400000,23.410200119,_;_;_;2240
0,57,mh_fused,mh_attention_fused_fp8_out,block24,560,128,560,7.215199947,7.277480125,0.062279999,23.410200119,_;_;_;56;40;512
0,58,mh_fast,mh_attention_project_frag_c512,block24,1120,32,1146880,7.278880119,7.346640110,0.067759998,23.410200119,_;_;_;_;2240;0;50;30;56;4;4
0,59,mh,mh_shift_pack,block25,3584,256,917504,7.349679947,7.402359962,0.052680001,23.410200119,_;_;50;30;56;32;4;0;512;0
0,60,deep_fast,split_mix_blocked_h16w,block25,896,32,917504,7.408760071,7.469439983,0.060679998,23.410200119,_;_;_;1792
0,61,deep_fast,split_ffn_fused_fp8_t8,block25,896,128,917504,7.472720146,7.535240173,0.062519997,23.410200119,_;_;_;_;1792
0,62,deep_fast,split_projection_frag,block25,896,32,917504,7.536799908,7.592999935,0.056200001,23.410200119,_;_;_;_;_;1792
0,63,mh_fast,mh_qkv_normalize_frag_c512,block25,2688,32,2752512,7.596759796,7.667079926,0.070320003,23.410200119,_;_;_;1792
0,64,mh_fused,mh_attention_fused_fp8_out,block25,448,128,448,7.668439865,7.727439880,0.059000000,23.410200119,_;_;_;56;32;512
0,65,mh_fast,mh_attention_project_frag_c512,block25,896,32,917504,7.728919983,7.787839890,0.058920000,23.410200119,_;_;_;_;1792;0;50;30;56;4;0
0,66,mh,mh_shift_pack,block26,4480,256,1146880,7.790800095,7.840879917,0.050080001,23.410200119,_;_;50;30;56;40;0;4;512;0
0,67,deep_fast,split_mix_blocked_h16w,block26,1120,32,1146880,7.848480225,7.917039871,0.068559997,23.410200119,_;_;_;2240
0,68,deep_fast,split_ffn_fused_fp8_t8,block26,1120,128,1146880,7.920879841,7.990520000,0.069640003,23.410200119,_;_;_;_;2240
0,69,deep_fast,split_projection_frag,block26,1120,32,1146880,7.992040157,8.051119804,0.059080001,23.410200119,_;_;_;_;_;2240
0,70,mh_fast,mh_qkv_normalize_frag_c512,block26,3360,32,3440640,8.055439949,8.132920265,0.077480003,23.410200119,_;_;_;2240
0,71,mh_fused,mh_attention_fused_fp8_out,block26,560,128,560,8.135560036,8.172519684,0.036959998,23.410200119,_;_;_;56;40;512
0,72,mh_fast,mh_attention_project_frag_c512,block26,1120,32,1146880,8.173919678,8.239359856,0.065439999,23.410200119,_;_;_;_;2240;0;50;30;56;0;4
0,73,mh,mh_shift_pack,block27,3584,256,917504,8.242400169,8.297320366,0.054919999,23.410200119,_;_;50;30;56;32;0;0;512;0
0,74,deep_fast,split_mix_blocked_h16w,block27,896,32,917504,8.303720474,8.365320206,0.061600000,23.410200119,_;_;_;1792
0,75,deep_fast,split_ffn_fused_fp8_t8,block27,896,128,917504,8.368599892,8.433480263,0.064879999,23.410200119,_;_;_;_;1792
0,76,deep_fast,split_projection_frag,block27,896,32,917504,8.435000420,8.493960381,0.058959998,23.410200119,_;_;_;_;_;1792
0,77,mh_fast,mh_qkv_normalize_frag_c512,block27,2688,32,2752512,8.497759819,8.571840286,0.074079998,23.410200119,_;_;_;1792
0,78,mh_fused,mh_attention_fused_fp8_out,block27,448,128,448,8.573240280,8.633440018,0.060199998,23.410200119,_;_;_;56;32;512
0,79,mh_fast,mh_attention_project_frag_c512,block27,896,32,917504,8.634960175,8.700759888,0.065800004,23.410200119,_;_;_;_;1792;0;50;30;56;0;0
0,80,mh,mh_shift_pack,block28,4480,256,1146880,8.703760147,8.759920120,0.056159999,23.410200119,_;_;50;30;56;40;4;4;512;0
0,81,deep_fast,split_mix_blocked_h16w,block28,1120,32,1146880,8.767600060,8.836879730,0.069279999,23.410200119,_;_;_;2240
0,82,deep_fast,split_ffn_fused_fp8_t8,block28,1120,128,1146880,8.840680122,8.908439636,0.067759998,23.410200119,_;_;_;_;2240
0,83,deep_fast,split_projection_frag,block28,1120,32,1146880,8.909959793,8.968919754,0.058959998,23.410200119,_;_;_;_;_;2240
0,84,mh_fast,mh_qkv_normalize_frag_c512,block28,3360,32,3440640,8.973079681,9.048800468,0.075719997,23.410200119,_;_;_;2240
0,85,mh_fused,mh_attention_fused_fp8_out,block28,560,128,560,9.051400185,9.088479996,0.037080001,23.410200119,_;_;_;56;40;512
0,86,mh_fast,mh_attention_project_frag_c512,block28,1120,32,1146880,9.089879990,9.155920029,0.066040002,23.410200119,_;_;_;_;2240;0;50;30;56;4;4
0,87,mh,mh_shift_pack,block29,3584,256,917504,9.158960342,9.212800026,0.053840000,23.410200119,_;_;50;30;56;32;4;0;512;0
0,88,deep_fast,split_mix_blocked_h16w,block29,896,32,917504,9.219240189,9.281559944,0.062320001,23.410200119,_;_;_;1792
0,89,deep_fast,split_ffn_fused_fp8_t8,block29,896,128,917504,9.284839630,9.347439766,0.062600002,23.410200119,_;_;_;_;1792
0,90,deep_fast,split_projection_frag,block29,896,32,917504,9.348959923,9.407119751,0.058160000,23.410200119,_;_;_;_;_;1792
0,91,mh_fast,mh_qkv_normalize_frag_c512,block29,2688,32,2752512,9.410920143,9.479479790,0.068559997,23.410200119,_;_;_;1792
