slot,mode,round,edge,after,start_tick,end_tick,prefix_ms,whole_ms,tail_ms,wall_ms,valid
6,1,6,1,1,259639562,259639578,5.849679947,12.590279579,6.740600109,12.740000000,1
6,1,6,2,1,259639578,259639593,5.892099857,12.611840248,6.719739914,12.754000000,1
6,1,6,3,0,259639593,259639609,5.765160084,12.542960167,6.777800083,12.675000000,1
6,1,7,0,0,259639609,259639609,5.786719799,12.582819939,6.796100140,12.698000000,1
6,1,7,1,1,259639609,259639625,5.815979958,12.546979904,6.730999947,12.701000000,1
6,1,7,2,1,259639625,259639640,5.822179794,12.529379845,6.707200050,12.688000000,1
6,1,7,3,0,259639640,259639656,5.784920216,12.578519821,6.793600082,12.748000000,1
6,1,8,0,0,259639656,259639671,5.781939983,12.609339714,6.827400208,12.740000000,1
6,1,8,1,1,259639671,259639687,5.897819996,12.626919746,6.729100227,12.749000000,1
6,1,8,2,1,259639687,259639687,5.851659775,12.556400299,6.704740047,12.698000000,1
6,1,8,3,0,259639687,259639703,5.822959900,12.586159706,6.763199806,12.758000000,1
6,1,9,0,0,259639703,259639718,5.825019836,12.514960289,6.689939976,12.663000000,1
6,1,9,1,1,259639718,259639734,5.871640205,12.636139870,6.764500141,12.761000000,1
6,1,9,2,1,259639734,259639750,5.812260151,12.535759926,6.723499775,12.674000000,1
6,1,9,3,0,259639750,259639750,5.760600090,12.517600060,6.756999969,12.657000000,1
6,1,10,0,0,259639750,259639765,5.772640228,12.543840408,6.771200180,12.675000000,1
6,1,10,1,1,259639765,259639781,5.850359917,12.706859589,6.856500149,12.847000000,1
6,1,10,2,1,259639781,259639796,5.763539791,12.445759773,6.682219982,12.688000000,1
6,1,10,3,0,259639796,259639812,5.761060238,12.517560005,6.756499767,12.672000000,1
6,1,11,0,0,259639812,259639812,5.788740158,12.623040199,6.834300041,12.778000000,1
6,1,11,1,1,259639812,259639828,5.976339817,12.676340103,6.699999809,12.834000000,1
6,1,11,2,1,259639828,259639843,5.837339878,12.534139633,6.696800232,12.759000000,1
6,1,11,3,0,259639843,259639859,5.778279781,12.546779633,6.768499851,12.687000000,1
6,1,12,0,0,259639859,259639875,5.764299870,12.539699554,6.775400162,12.691000000,1
6,1,12,1,1,259639875,259639890,5.893939972,12.560500145,6.666560173,12.703000000,1
6,1,12,2,1,259639890,259639890,5.863920212,12.643320084,6.779399872,12.774000000,1
6,1,12,3,0,259639890,259639906,5.776239872,12.549240112,6.772999763,12.667000000,1
6,1,13,0,0,259639906,259639921,5.783440113,12.595439911,6.811999798,12.737000000,1
6,1,13,1,1,259639921,259639937,5.905660152,12.579500198,6.673840046,12.716000000,1
6,1,13,2,1,259639937,259639953,5.911660194,12.638319969,6.726659775,12.761000000,1
6,1,13,3,0,259639953,259639953,5.875539780,12.575039864,6.699500084,12.728000000,1
6,1,14,0,0,259639953,259639968,5.795780182,12.584879875,6.789100170,12.711000000,1
6,1,14,1,1,259639968,259639984,5.848320007,12.575819969,6.727499962,12.719000000,1
6,1,14,2,1,259639984,259640000,5.854400158,12.608200073,6.753799915,12.739000000,1
6,1,14,3,0,259640000,259640015,5.904139996,12.514140129,6.610000134,12.654000000,1
6,1,15,0,0,259640015,259640031,5.840280056,12.623800278,6.783520222,12.774000000,1
6,1,15,1,1,259640031,259640031,5.863659859,12.595159531,6.731500149,12.726000000,1
6,1,15,2,1,259640031,259640046,5.853260040,12.556240082,6.702980042,12.715000000,1
6,1,15,3,0,259640046,259640062,5.793940067,12.565239906,6.771299839,12.702000000,1
7,0,0,0,0,259642515,259642515,5.551199913,12.060199738,6.508999825,12.289000000,1
7,0,0,1,1,259642515,259642531,5.765379906,12.308460236,6.543079853,12.464000000,1
7,0,0,2,1,259642531,259642546,5.811779976,12.521080017,6.709300041,12.684000000,1
7,0,0,3,0,259642546,259642562,5.832660198,12.675959587,6.843299866,12.826000000,1
7,0,1,0,0,259642562,259642578,5.833879948,12.605680466,6.771800041,12.741000000,1
7,0,1,1,1,259642578,259642578,5.914740086,12.643739700,6.729000092,12.776000000,1
7,0,1,2,1,259642578,259642593,5.878759861,12.645560265,6.766799927,12.787000000,1
7,0,1,3,0,259642593,259642609,5.789480209,12.582380295,6.792900085,12.728000000,1
7,0,2,0,0,259642609,259642625,5.789340019,12.605939865,6.816599846,12.752000000,1
