index,stage,kernel
184,block50,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb_pdl
185,block50,c64_wave2:c256_attn_wave_bo
186,block51,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb_pdl
187,block51,c64_wave2:c256_attn_wave_bo
188,block52,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb_pdl
189,block52,c64_wave2:c256_attn_wave_bo
190,block53,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb_pdl
191,block53,c64_wave2:c256_attn_wave_bo
192,block54,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb_pdl
193,block54,c64_wave2:c256_attn_wave_bo
194,block55,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb_pdl
195,block55,c64_wave2:c256_attn_wave
196,block56,deep_fast:decoder_project2x_h16w_byteout
197,block56,c64_wave2:c128_wave2_bi_bo
198,block57,c64_wave2:c128_wave2_bi_bo
199,block58,c64_wave2:c128_wave2_bi_bo
200,block59,c64_wave2:c128_wave2_bi_bo
201,block60,c64_wave2:c128_wave2_bi_bo
202,block61,c64_wave2:c128_wave2_bi
203,block62,deep_fast:decoder_project2x_h16w_byteout
204,block62,c64_wave2:c64_wave2_bi_bo
205,block63,c64_wave2:c64_wave2_bi_bo
206,block64,c64_wave2:c64_wave2_bi_bo
207,block65,c64_wave2:c64_wave2_bi
208,block69,deep_fast:decoder_project2x_h16w
209,block69,c32_wave1:c32_wave1_mapped
210,block69,c32_wave1:c32_wave1_chain
211,block69,c32_wave1:c32_wave1_chain
212,block69,c32_wave1:c32_wave1_finish
213,block70,c32_wave1:c32_wave1_post
