region,round,slot,cut,start_tick,end_tick,prefix_ms,gpu_frame_ms,tail_ms,wall_ms
11,5,3,206,199005937,199005953,12.414679527,18.071880341,5.657199860,18.353000000
11,6,0,206,199005953,199005984,12.479680061,18.140060425,5.660379887,18.431000000
11,6,1,219,199005984,199006000,13.498760223,18.045259476,4.546500206,18.441000000
11,6,2,219,199006000,199006015,13.682740211,18.051759720,4.369019985,18.447000000
11,6,3,206,199006015,199006031,12.290960312,17.906059265,5.615099907,18.313000000
11,7,0,206,199006031,199006046,12.332679749,17.949979782,5.617300034,18.276000000
11,7,1,219,199006046,199006062,13.509960175,18.036159515,4.526199818,18.313000000
11,7,2,219,199006062,199006093,13.517519951,18.143220901,4.625699997,18.429000000
11,7,3,206,199006093,199006109,12.388239861,18.050619125,5.662380219,18.431000000
12,0,0,219,199006265,199006281,13.376399994,17.919799805,4.543399811,18.316000000
12,0,1,228,199006281,199006296,14.819680214,18.152280807,3.332600117,18.415000000
12,0,2,228,199006296,199006312,14.754699707,18.052400589,3.297699928,18.430000000
12,0,3,219,199006312,199006328,13.354060173,17.885059357,4.531000137,18.273000000
12,1,0,219,199006328,199006359,13.477919579,17.950420380,4.472499847,18.267000000
12,1,1,228,199006359,199006375,14.727140427,18.094739914,3.367599964,18.409000000
12,1,2,228,199006375,199006390,14.687979698,17.937679291,3.249700069,18.350000000
12,1,3,219,199006390,199006406,13.590700150,18.080020905,4.489319801,18.451000000
12,2,0,219,199006406,199006421,13.446359634,18.029960632,4.583600044,18.425000000
12,2,1,228,199006421,199006437,14.516900063,17.965700150,3.448800087,18.390000000
12,2,2,228,199006437,199006468,14.679900169,18.000799179,3.320899963,18.375000000
12,2,3,219,199006468,199006484,13.605520248,18.084020615,4.478499889,18.445000000
12,3,0,219,199006484,199006500,13.381719589,17.915119171,4.533400059,18.344000000
12,3,1,228,199006500,199006515,14.702260017,18.047159195,3.344899893,18.388000000
12,3,2,228,199006515,199006531,14.655540466,18.007240295,3.351700068,18.430000000
12,3,3,219,199006531,199006546,13.406519890,17.912220001,4.505700111,18.310000000
12,4,0,219,199006546,199006578,13.501779556,18.062179565,4.560400009,18.373000000
12,4,1,228,199006578,199006593,14.604040146,17.957340240,3.353300095,18.288000000
12,4,2,228,199006593,199006609,14.635419846,17.972320557,3.336899996,18.243000000
12,4,3,219,199006609,199006625,13.369620323,17.892219543,4.522600174,18.246000000
12,5,0,219,199006625,199006640,13.505760193,18.107059479,4.601299763,18.367000000
12,5,1,228,199006640,199006656,14.658479691,18.090579987,3.432100058,18.424000000
12,5,2,228,199006656,199006687,14.558320045,17.828420639,3.270100117,18.213000000
12,5,3,219,199006687,199006703,13.317580223,17.969379425,4.651800156,18.374000000
12,6,0,219,199006703,199006718,13.463859558,17.998260498,4.534399986,18.357000000
12,6,1,228,199006718,199006734,14.690320015,17.992420197,3.302099943,18.388000000
12,6,2,228,199006734,199006750,14.700240135,18.035039902,3.334800005,18.391000000
12,6,3,219,199006750,199006781,13.462920189,17.981220245,4.518300056,18.373000000
12,7,0,219,199006781,199006796,13.322580338,17.858280182,4.535699844,18.257000000
12,7,1,228,199006796,199006812,14.601699829,17.964199066,3.362499952,18.330000000
12,7,2,228,199006812,199006828,14.653719902,17.981119156,3.327399969,18.247000000
12,7,3,219,199006828,199006843,13.431059837,17.989660263,4.558599949,18.252000000
13,0,0,228,199007000,199007015,14.701720238,18.035419464,3.333699942,18.322000000
13,0,1,233,199007015,199007031,16.373039246,17.957740784,1.584699988,18.223000000
13,0,2,233,199007031,199007062,16.440599442,18.034799576,1.594200015,18.311000000
13,0,3,228,199007062,199007078,14.686180115,18.052080154,3.365900040,18.333000000
13,1,0,228,199007078,199007093,14.713740349,18.053340912,3.339600086,18.328000000
13,1,1,233,199007093,199007109,16.404039383,17.999540329,1.595499992,18.266000000
13,1,2,233,199007109,199007125,16.394739151,17.986839294,1.592100024,18.245000000
13,1,3,228,199007125,199007140,14.717040062,18.061239243,3.344199896,18.324000000
13,2,0,228,199007140,199007171,14.682319641,18.022819519,3.340500116,18.295000000
13,2,1,233,199007171,199007187,16.471620560,18.103219986,1.631600022,18.364000000
13,2,2,233,199007187,199007203,16.417619705,17.975719452,1.558099985,18.297000000
13,2,3,228,199007203,199007218,14.669540405,18.009140015,3.339600086,18.279000000
13,3,0,228,199007218,199007234,14.712719917,18.070920944,3.358200073,18.334000000
13,3,1,233,199007234,199007265,16.363059998,17.963359833,1.600299954,18.339000000
13,3,2,233,199007265,199007281,16.531440735,18.125139236,1.593700051,18.460000000
13,3,3,228,199007281,199007296,14.575579643,17.885379791,3.309799910,18.305000000
13,4,0,228,199007296,199007312,14.525939941,17.876939774,3.351000071,18.275000000
13,4,1,233,199007312,199007328,16.457679749,18.111980438,1.654299974,18.440000000
13,4,2,233,199007328,199007343,16.383880615,17.999679565,1.615800023,18.402000000
13,4,3,228,199007343,199007375,14.679920197,18.010620117,3.330699921,18.394000000
13,5,0,228,199007375,199007390,14.685319901,17.971820831,3.286499977,18.333000000
13,5,1,233,199007390,199007406,16.334880829,18.013580322,1.678699970,18.385000000
13,5,2,233,199007406,199007421,16.350439072,17.952939987,1.602499962,18.309000000
13,5,3,228,199007421,199007437,14.714859962,18.054960251,3.340100050,18.425000000
13,6,0,228,199007437,199007453,14.712120056,18.083019257,3.370899916,18.436000000
13,6,1,233,199007453,199007484,16.261140823,17.906639099,1.645499945,18.307000000
13,6,2,233,199007484,199007500,16.469039917,17.997539520,1.528499961,18.330000000
13,6,3,228,199007500,199007515,14.710639954,18.110740662,3.400099993,18.407000000
13,7,0,228,199007515,199007531,14.583499908,17.992900848,3.409399986,18.368000000
13,7,1,233,199007531,199007546,16.360979080,17.952180862,1.591199994,18.308000000
13,7,2,233,199007546,199007562,16.427959442,18.013160706,1.585199952,18.276000000
13,7,3,228,199007562,199007593,14.738360405,18.077159882,3.338799953,18.338000000
14,0,0,233,199007750,199007765,16.615100861,18.214500427,1.599400043,18.476000000
14,0,1,234,199007765,199007781,18.004999161,18.004999161,0.000000000,18.419000000
14,0,2,234,199007781,199007796,17.979440689,17.979440689,0.000000000,18.344000000
14,0,3,233,199007796,199007812,16.517780304,18.156179428,1.638399959,18.491000000
14,1,0,233,199007812,199007828,16.354520798,17.991619110,1.637099981,18.413000000
14,1,1,234,199007828,199007859,18.026859283,18.026859283,0.000000000,18.516000000
14,1,2,234,199007859,199007875,17.976200104,17.976200104,0.000000000,18.424000000
14,1,3,233,199007875,199007890,16.470880508,18.112379074,1.641499996,18.471000000
14,2,0,233,199007890,199007906,16.218540192,17.705839157,1.487300038,18.240000000
14,2,1,234,199007906,199007921,18.183639526,18.183639526,0.000000000,18.595000000
14,2,2,234,199007921,199007953,17.887199402,17.887199402,0.000000000,18.355000000
14,2,3,233,199007953,199007968,16.325700760,18.016599655,1.690899968,18.359000000
14,3,0,233,199007968,199007984,16.612300873,18.189100266,1.576799989,18.573000000
14,3,1,234,199007984,199008000,18.036300659,18.036300659,0.000000000,18.412000000
14,3,2,234,199008000,199008015,18.130739212,18.130739212,0.000000000,18.605000000
14,3,3,233,199008015,199008031,16.309179306,18.001480103,1.692299962,18.410000000
14,4,0,233,199008031,199008062,16.378580093,17.964879990,1.586300015,18.438000000
14,4,1,234,199008062,199008078,17.995140076,17.995140076,0.000000000,18.411000000
14,4,2,234,199008078,199008093,18.245000839,18.245000839,0.000000000,18.634000000
14,4,3,233,199008093,199008109,16.314319611,17.826419830,1.512099981,18.301000000
14,5,0,233,199008109,199008125,16.474679947,18.071079254,1.596400023,18.392000000
14,5,1,234,199008125,199008156,17.853120804,17.853120804,0.000000000,18.357000000
14,5,2,234,199008156,199008171,18.073040009,18.073040009,0.000000000,18.407000000
14,5,3,233,199008171,199008187,16.423500061,18.025899887,1.602399945,18.423000000
14,6,0,233,199008187,199008203,16.420780182,17.990280151,1.569499969,18.365000000
14,6,1,234,199008203,199008218,18.043340683,18.043340683,0.000000000,18.747000000
14,6,2,234,199008218,199008234,18.035179138,18.035179138,0.000000000,18.436000000
14,6,3,233,199008234,199008265,16.237319946,17.829019547,1.591699958,18.191000000
14,7,0,233,199008265,199008281,16.729019165,18.303819656,1.574800014,18.561000000
14,7,1,234,199008281,199008296,17.980180740,17.980180740,0.000000000,18.360000000
14,7,2,234,199008296,199008312,17.987680435,17.987680435,0.000000000,18.350000000
14,7,3,233,199008312,199008328,16.296400070,17.873699188,1.577299953,18.231000000
