test,slot,mode,frame,segment_ms
marked_ab,1,1,138,1.202919960
marked_ab,1,1,139,1.237100005
marked_ab,1,1,140,1.329660058
marked_ab,1,1,141,1.297899961
marked_ab,1,1,142,1.213400006
marked_ab,1,1,143,1.290300012
marked_ab,1,1,144,1.317520022
marked_ab,1,1,145,1.376500010
marked_ab,1,1,146,1.209439993
marked_ab,1,1,147,1.261299968
marked_ab,1,1,148,1.270699978
marked_ab,1,1,149,1.282199979
marked_ab,1,1,150,1.276999950
marked_ab,1,1,151,1.277300000
marked_ab,1,1,152,1.261999965
marked_ab,1,1,153,1.280300021
marked_ab,1,1,154,1.279600024
marked_ab,1,1,155,1.270799994
marked_ab,1,1,156,1.276100039
marked_ab,1,1,157,1.271999955
marked_ab,1,1,158,1.289000034
marked_ab,1,1,159,1.270099998
marked_ab,2,1,0,1.273300052
marked_ab,2,1,1,1.279000044
marked_ab,2,1,2,1.275099993
marked_ab,2,1,3,1.197180033
marked_ab,2,1,4,1.229220033
marked_ab,2,1,5,1.271600008
marked_ab,2,1,6,1.282799959
marked_ab,2,1,7,1.275500059
marked_ab,2,1,8,1.268200040
marked_ab,2,1,9,1.268900037
marked_ab,2,1,10,1.277899981
marked_ab,2,1,11,1.269199967
marked_ab,2,1,12,1.277500033
marked_ab,2,1,13,1.265900016
marked_ab,2,1,14,1.273300052
marked_ab,2,1,15,1.279500008
marked_ab,2,1,16,1.282799959
marked_ab,2,1,17,1.263299942
marked_ab,2,1,18,1.273499966
marked_ab,2,1,19,1.276399970
marked_ab,2,1,20,1.265900016
marked_ab,2,1,21,1.223500013
marked_ab,2,1,22,1.274500012
marked_ab,2,1,23,1.268700004
marked_ab,2,1,24,1.285099983
marked_ab,2,1,25,1.276900053
marked_ab,2,1,26,1.217519999
marked_ab,2,1,27,1.273900032
marked_ab,2,1,28,1.227519989
marked_ab,2,1,29,1.281399965
marked_ab,2,1,30,1.271199942
marked_ab,2,1,31,1.276299953
marked_ab,2,1,32,1.270699978
marked_ab,2,1,33,1.277999997
marked_ab,2,1,34,1.274999976
marked_ab,2,1,35,1.280099988
marked_ab,2,1,36,1.263499975
marked_ab,2,1,37,1.264400005
marked_ab,2,1,38,1.266399980
marked_ab,2,1,39,1.273300052
marked_ab,2,1,40,1.283400059
marked_ab,2,1,41,1.270499945
marked_ab,2,1,42,1.261860013
marked_ab,2,1,43,1.274000049
marked_ab,2,1,44,1.277300000
marked_ab,2,1,45,1.251139998
marked_ab,2,1,46,1.273000002
marked_ab,2,1,47,1.281700015
marked_ab,2,1,48,1.266999960
marked_ab,2,1,49,1.338500023
marked_ab,2,1,50,1.365300059
marked_ab,2,1,51,1.250640035
marked_ab,2,1,52,1.243659973
marked_ab,2,1,53,1.197739959
marked_ab,2,1,54,1.208799958
marked_ab,2,1,55,1.218500018
marked_ab,2,1,56,1.244959950
marked_ab,2,1,57,1.282400012
marked_ab,2,1,58,1.179700017
marked_ab,2,1,59,1.268700004
marked_ab,2,1,60,1.270300031
marked_ab,2,1,61,1.285899997
marked_ab,2,1,62,1.204499960
marked_ab,2,1,63,1.321900010
marked_ab,2,1,64,1.331500053
marked_ab,2,1,65,1.224439979
marked_ab,2,1,66,1.218199968
marked_ab,2,1,67,1.271199942
marked_ab,2,1,68,1.326500058
marked_ab,2,1,69,1.241999984
marked_ab,2,1,70,1.284100056
marked_ab,2,1,71,1.255040050
marked_ab,2,1,72,1.271100044
marked_ab,2,1,73,1.241000056
marked_ab,2,1,74,1.276600003
marked_ab,2,1,75,1.279500008
marked_ab,2,1,76,1.281000018
marked_ab,2,1,77,1.373200059
marked_ab,2,1,78,1.206339955
marked_ab,2,1,79,1.336519957
marked_ab,2,1,80,1.202960014
marked_ab,2,1,81,1.220499992
marked_ab,2,1,82,1.285899997
marked_ab,2,1,83,1.270599961
marked_ab,2,1,84,1.271900058
marked_ab,2,1,85,1.273300052
marked_ab,2,1,86,1.275300026
marked_ab,2,1,87,1.276600003
marked_ab,2,1,88,1.258640051
marked_ab,2,1,89,1.274299979
marked_ab,2,1,90,1.269899964
marked_ab,2,1,91,1.271000028
marked_ab,2,1,92,1.267099977
marked_ab,2,1,93,1.275699973
marked_ab,2,1,94,1.295199990
marked_ab,2,1,95,1.267899990
marked_ab,2,1,96,1.393700004
marked_ab,2,1,97,1.379799962
marked_ab,2,1,98,1.220239997
marked_ab,2,1,99,1.270300031
marked_ab,2,1,100,1.244660020
marked_ab,2,1,101,1.253000021
marked_ab,2,1,102,1.197160006
marked_ab,2,1,103,1.225000024
marked_ab,2,1,104,1.277300000
marked_ab,2,1,105,1.208019972
marked_ab,2,1,106,1.274199963
marked_ab,2,1,107,1.283599973
marked_ab,2,1,108,1.277400017
marked_ab,2,1,109,1.280400038
marked_ab,2,1,110,1.267699957
marked_ab,2,1,111,1.276299953
marked_ab,2,1,112,1.228639960
marked_ab,2,1,113,1.294999957
marked_ab,2,1,114,1.274899960
marked_ab,2,1,115,1.272199988
marked_ab,2,1,116,1.278300047
marked_ab,2,1,117,1.271700025
marked_ab,2,1,118,1.289299965
marked_ab,2,1,119,1.202780008
marked_ab,2,1,120,1.293200016
marked_ab,2,1,121,1.220600009
marked_ab,2,1,122,1.272600055
marked_ab,2,1,123,1.203780055
marked_ab,2,1,124,1.249920011
marked_ab,2,1,125,1.269799948
marked_ab,2,1,126,1.259799957
marked_ab,2,1,127,1.276900053
marked_ab,2,1,128,1.267199993
marked_ab,2,1,129,1.270699978
marked_ab,2,1,130,1.267400026
marked_ab,2,1,131,1.347700000
marked_ab,2,1,132,1.377699971
marked_ab,2,1,133,1.269700050
