kind,accumulators,groups,iterations,sample,launches,start_tick,end_tick,wall_ms,event_ms,flops_per_launch,wall_tflops,event_tflops
fp16,1,256,2048,4,45,196278484,196278625,144.059000000,143.829421997,549755813888,171.728330927,172.002440679
fp16,1,1024,2048,0,12,196278796,196278953,153.970000000,153.642684937,2199023255552,171.385848325,171.750962810
fp16,1,1024,2048,1,12,196278953,196279109,154.976000000,154.798751831,2199023255552,170.273326622,170.468293539
fp16,1,1024,2048,2,12,196279109,196279250,151.830000000,151.660507202,2199023255552,173.801482359,173.995719475
fp16,1,1024,2048,3,12,196279250,196279406,154.679000000,154.497192383,2199023255552,170.600269375,170.801026605
fp16,1,1024,2048,4,12,196279406,196279562,154.529000000,154.306793213,2199023255552,170.765869621,171.011778012
fp16,2,64,2048,0,95,196279718,196279875,153.420000000,153.170852661,274877906944,170.208585319,170.485446193
fp16,2,64,2048,1,95,196279875,196280031,153.623000000,153.371826172,274877906944,169.983668850,170.262047545
fp16,2,64,2048,2,95,196280031,196280171,153.925000000,153.667343140,274877906944,169.650161830,169.934617376
fp16,2,64,2048,3,95,196280171,196280328,153.955000000,153.678421021,274877906944,169.617103437,169.922367671
fp16,2,64,2048,4,95,196280328,196280484,151.451000000,150.949584961,274877906944,172.421450896,172.994189858
fp16,2,256,2048,0,25,196280640,196280796,150.053000000,149.833129883,1099511627776,183.187211814,183.456026821
fp16,2,256,2048,1,25,196280796,196280937,149.869000000,149.654052734,1099511627776,183.412117879,183.675551662
fp16,2,256,2048,2,25,196280937,196281093,149.903000000,149.580307007,1099511627776,183.370517564,183.766106946
fp16,2,256,2048,3,25,196281093,196281234,149.958000000,149.731811523,1099511627776,183.303262876,183.580165195
fp16,2,256,2048,4,25,196281234,196281390,150.119000000,149.904098511,1099511627776,183.106673335,183.369173808
fp16,2,1024,2048,0,7,196281593,196281765,174.351000000,174.117721558,4398046511104,176.576707778,176.813280706
fp16,2,1024,2048,1,7,196281765,196281937,169.629000000,169.305603027,4398046511104,181.492112656,181.838787537
fp16,2,1024,2048,2,7,196281937,196282109,169.457000000,169.245819092,4398046511104,181.676328377,181.903019779
fp16,2,1024,2048,3,7,196282109,196282281,173.839000000,173.656097412,4398046511104,177.096771022,177.283297486
fp16,2,1024,2048,4,7,196282281,196282453,171.991000000,171.764312744,4398046511104,178.999631247,179.235867369
fp16,4,64,2048,0,51,196282609,196282765,154.294000000,154.074142456,549755813888,181.715079707,181.974379746
fp16,4,64,2048,1,51,196282765,196282921,154.372000000,154.136611938,549755813888,181.623263988,181.900627993
fp16,4,64,2048,2,51,196282921,196283078,154.808000000,154.580886841,549755813888,181.111741695,181.377834487
